,Country,Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
195,Brunei Darussalam,"Inflation, average consumer prices",,,,1.166,3.098,2.3,1.776,1.275,1.193,1.31,2.133,1.583,1.259,4.288,2.448,5.972,1.965,1.705,-0.424,-0.008,1.174,0.603,-2.288,0.3,0.897,0.952,0.153,0.966,2.086,1.034,0.227,0.141,0.112,0.389,-0.208,-0.311,-0.383,-1.261,1.053,-0.481,0.903,0.971
196,Brunei Darussalam,"Inflation, end of period consumer prices",,,,,,,,,,,,,1.259,4.288,2.448,5.972,1.965,1.705,-0.424,-0.008,1.174,0.603,-2.288,0.922,1.688,-0.475,-0.319,1.938,1.882,0.529,0.185,0.154,0.038,0.157,1.229,-0.95,-0.627,-0.46,-0.006,-0.083,0.903,0.971
197,Brunei Darussalam,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,8.5,7.7,6.9,7.7,8.5,9.3,9.316,9.316,9.316,9.316
198,Brunei Darussalam,General government net lending/borrowing,,,,,,33.021,7.903,4.254,-3.836,-5.819,-2.052,-1.359,-9.869,-15.687,-29.883,-26.989,-11.062,-14.424,-28.624,-20.701,6.86,2.585,-4.614,8.061,8.565,16.328,19.739,3.118,36.014,3.61,7.612,25.632,15.786,13.025,3.576,-14.523,-21.68,-10.623,-3.559,-10.455,-26.578,-21.635
199,Brunei Darussalam,Current account balance,,,,,,71.233,73.724,72.953,76.01,64.969,60.271,60.012,38.951,26.873,34.999,21.967,23.836,21.018,16.718,30.257,45.006,41.859,36.188,39.888,38.05,42.599,45.164,43.138,43.444,32.303,36.595,34.709,29.838,20.881,31.927,16.682,12.9,16.367,7.87,4.323,-1.249,2.129
204,Bulgaria,"Inflation, end of period consumer prices",,,,,,,,,,69.626,64.325,4027.83,79.416,63.8,121.9,32.9,310.8,549.206,1.633,6.97,11.256,4.822,3.814,5.64,3.966,7.394,6.093,11.563,7.191,1.637,4.45,2.039,2.763,-0.851,-1.951,-0.896,-0.502,1.796,2.31,3.1,1,2.4
205,Bulgaria,Unemployment rate,,,,,,,,,,0.025,2.9,6.78,13.24,15.84,14.05,11.37,10.988,14.023,12.367,13.79,18.134,17.514,17.416,13.857,12.192,10.177,9.022,6.935,5.664,6.878,10.306,11.35,12.379,13.038,11.524,9.233,7.666,6.23,5.2,4.2,8,4.5
206,Bulgaria,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,1.084,0.151,-0.605,-0.58,-0.614,0.003,1.593,2.187,3.221,3.088,2.734,-0.856,-3.794,-1.844,-0.436,-1.759,-3.665,-2.782,1.544,0.826,0.123,-0.968,-2.94,-1.422
212,Burkina Faso,"Inflation, end of period consumer prices",,6.543,13.423,2.75,7.493,0.996,-3.533,2.981,2.151,1.619,-1.355,-0.889,-0.163,2.696,29.091,3.941,6.931,4.178,0.972,0.659,2.409,0.976,3.935,3.165,0.692,4.472,1.528,2.267,11.578,-1.844,-0.261,5.06,1.674,0.12,-0.149,1.274,-1.635,2.074,0.336,-2.556,3.2,2.1
213,Burkina Faso,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Burkina Faso,General government net lending/borrowing,,,,,,-1.214,-5.1,-5.27,-4.323,1.965,-7.536,-2.772,-2.509,-3.81,-1.887,-2.646,-1.666,-2.643,-2.598,-3.287,-3.028,-3.557,-4.433,-1.79,-4.194,-4.89,14.346,-5.015,-3.627,-4.16,-4.058,-2.039,-2.763,-3.548,-1.737,-2.09,-3.085,-6.884,-4.355,-2.995,-5,-3.5
220,Burundi,"Inflation, end of period consumer prices",,10.986,8.013,5.261,24.966,-5.535,4.432,4.985,5.359,12.002,10.732,8.338,3.522,15.532,13.157,19.169,37.384,26.604,-1.21,21.027,14.093,3.685,3.28,10.854,12.067,1.075,9.001,14.694,25.674,4.629,4.082,14.855,11.841,9.017,3.745,7.132,9.498,10.499,-5.877,5.142,10.427,2.452
221,Burundi,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Burundi,General government net lending/borrowing,,,,,,,,,,,9.472,4.82,-4.846,-1.419,-2.05,-4.326,-10.026,-5.215,-5.16,-6.145,-6.435,-8.721,-5.381,-14.738,-15.46,-10.556,-9.924,-2.51,-2.704,-5.145,-3.637,-3.491,-3.794,-1.811,-3.634,-5.4,-6.925,-7.201,-5.274,-5.964,-8.996,-6.761
226,Cabo Verde,"Gross domestic product per capita, constant prices",,6.798,0.962,7.323,1.611,6.374,0.753,2.169,3.802,3.44,-1.548,-0.942,0.607,4.767,7.283,4.737,4.113,5.16,6.037,9.508,5.099,4.072,3.329,5.624,3.24,4.271,7.705,7.951,5.504,-2.311,0.372,2.806,-0.081,-0.385,-0.599,-0.221,3.416,2.406,5.584,4.216,-5.171,4.263
228,Cabo Verde,"Inflation, end of period consumer prices",,20.67,21.759,17.871,9.677,5.882,11.111,3.75,3.614,4.651,11.111,10.614,13.91,4.373,3.946,5.706,9.106,0.395,8.362,-1.569,-1.032,4.562,2.983,-2.281,-0.298,1.759,5.813,3.36,6.646,-0.311,3.44,3.534,4.14,0.065,-0.339,-0.525,-0.25,0.269,1.003,1.936,1.3,1.4
230,Cabo Verde,General government net lending/borrowing,,,,,,,,,,,,,,,-12.84,-11.837,-12.403,-11.49,-3.564,-11.463,-17.84,-6.465,-7.838,-4.499,-3.677,-6.003,-5.067,-0.941,-1.551,-5.804,-10.524,-7.652,-10.285,-9.308,-7.612,-4.555,-3.035,-2.972,-2.818,-1.814,-8.337,-4.283
232,Cambodia,"Gross domestic product, constant prices",,,,,,,,,9.616,3.327,1.118,7.592,7.069,4.042,8.181,5.979,5.898,4.007,4.682,12.705,9.575,8.561,6.579,8.506,10.341,13.25,10.771,10.213,6.692,0.087,5.963,7.07,7.313,7.357,7.143,7.036,6.863,6.997,7.533,7.045,-1.587,6.057
233,Cambodia,"Gross domestic product, current prices",,,,,,,,4.322,4.905,5.267,5.525,6.145,6.73,7.167,7.919,8.569,9.24,9.776,10.349,11.833,13.255,14.706,15.921,17.596,19.938,23.284,26.572,30.073,32.709,32.987,35.361,38.652,42.274,46.181,50.395,54.502,58.846,64.149,70.662,76.959,76.218,82.41
234,Cambodia,"Gross domestic product per capita, constant prices",,,,,,,,,6.524,0.29,-2.084,3.96,3.349,0.425,3.792,2.643,2.829,1.22,2.089,10.113,7.223,6.388,4.594,6.618,8.536,11.495,9.148,8.671,5.213,-1.355,4.335,5.31,6.043,5.599,5.431,5.305,5.176,5.393,5.944,5.463,-3.042,4.489
235,Cambodia,"Inflation, average consumer prices",,,,,,,,-31.248,23.0,63.8,141.8,191,75.0,114.319,10.44,10.077,7.147,10.503,12.899,1.996,-0.826,-0.117,-0.036,1.027,3.925,6.349,6.143,7.668,24.997,-0.663,3.997,5.478,2.925,2.955,3.852,1.225,3.025,2.906,2.387,2.371,1.548,1.891
236,Cambodia,"Inflation, end of period consumer prices",,,,,,,,,31.0,89.0,151,150,112.0,41.0,29.902,-1.859,10.034,16.69,7.982,0.181,0.341,-0.527,1.427,-0.042,5.265,8.411,4.201,13.952,12.52,5.325,3.143,4.908,2.54,4.676,1.04,2.842,3.881,2.231,1.632,2.666,0.873,2.784
237,Cambodia,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Cambodia,General government net lending/borrowing,,,,,,,,,,,,,,,,,-7.536,-3.724,-5.358,-3.802,-4.815,-5.146,-6.381,-6.169,-3.562,-0.384,-0.172,0.727,0.503,-4.781,-3.795,-4.695,-4.525,-2.616,-1.643,-0.646,-0.3,-0.775,0.717,0.448,-1.87,-1.747
239,Cambodia,Current account balance,,,,,,,,,,,,,-1.009,-1.644,-3.436,-4.695,-7.043,1.307,-5.499,-4.821,-2.627,-0.97,-2.266,-3.56,-2.17,-3.824,-0.646,-1.664,-6.62,-9.915,-8.751,-8.031,-8.623,-8.462,-8.556,-8.739,-8.479,-7.915,-11.399,-12.533,-22.179,-17.579
244,Cameroon,"Inflation, end of period consumer prices",,4.558,13.431,13.547,16.591,3.658,8.541,18.896,-1.878,0.0,-0.734,-0.23,0.751,-4.056,33.786,16.239,0.799,4.627,5.938,-0.477,1.498,4.959,2.362,-0.055,1.008,3.465,2.42,3.441,5.313,0.943,2.569,2.732,2.527,1.652,2.586,1.482,0.292,0.786,1.975,2.402,2.4,2.1
245,Cameroon,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Cameroon,General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,1.614,0.91,1.608,0.614,-0.491,3.292,30.453,4.139,2.09,-0.044,-0.98,-2.355,-1.446,-3.705,-4.251,-4.422,-6.092,-4.872,-2.487,-2.341,-4.468,-3.618
260,Central African Republic,"Inflation, end of period consumer prices",,14.66,13.243,14.558,2.604,10.457,2.411,-6.986,-3.934,0.645,-1.057,-0.763,0.0,-4.769,44.75,5.022,4.608,0.358,-2.984,-4.212,8.05,2.539,9.085,-1.271,-0.304,2.204,7.115,-0.209,14.525,-1.159,2.261,4.341,3.276,9.194,9.847,10.66,-4.465,7.171,4.605,-2.803,3.469,2.522
261,Central African Republic,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Central African Republic,General government net lending/borrowing,,,,,,,,,-3.722,-3.247,-6.598,-7.996,-7.327,-5.663,-7.574,-4.84,-1.059,-1.565,0.001,-0.496,-2.008,-0.881,-1.163,-3.047,-1.719,-4.343,8.584,1.044,-1.231,-0.553,-1.347,-2.135,0.353,-5.935,-3.935,-0.588,1.07,-1.063,-0.972,1.424,-2.413,0.352
268,Chad,"Inflation, end of period consumer prices",,8.11,6.5,11.6,20.3,5.1,-16,-4.7,14.9,-4.802,3.413,2.1,-6.8,31.4,15.29,10.0,10.5,0.62,3.5,3.3,13.046,0.702,12.556,-11.864,9.219,-8.07,7.956,1.658,9.658,4.738,-2.156,10.73,2.064,0.897,3.705,2.194,-4.962,3.112,4.382,-1.679,2.294,2.942
269,Chad,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Chad,General government net lending/borrowing,,,,,,,,,,,,,,,,-4.052,-3.711,-3.346,-2.245,-5.279,-6.073,-4.585,-5.292,-5.598,-2.387,-0.068,2.22,2.525,3.614,-9.203,-4.152,2.391,0.473,-2.065,-4.182,-4.38,-1.937,-0.231,1.936,-0.172,-0.439,-2.232
278,Chile,General government net lending/borrowing,,,,,,,,,,,2.266,1.552,2.123,1.425,1.448,3.123,2.085,2.059,0.392,-2.031,-0.697,-0.498,-1.18,-0.42,2.048,4.543,7.459,7.909,3.934,-4.241,-0.361,1.422,0.681,-0.47,-1.49,-2.077,-2.649,-2.621,-1.465,-2.647,-6.317,-3.538
283,China,"Inflation, average consumer prices",,2.5,2,2.0,2.7,9.3,6.5,7.3,18.8,18.0,3.1,3.4,6.4,14.7,24.1,17.1,8.3,2.8,-0.8,-1.4,0.4,0.7,-0.8,1.2,3.9,1.8,1.5,4.8,5.9,-0.7,3.3,5.4,2.646,2.624,1.988,1.441,2.003,1.558,2.105,2.903,3.046,2.551
284,China,"Inflation, end of period consumer prices",,,,,,11.2,6.6,8.9,27.9,6.6,4.3,4.5,8.8,18.8,25.5,10.1,7.0,0.4,-1.0,-1.0,1.5,-0.3,-0.4,3.2,2.4,1.6,2.8,6.5,1.2,1.9,4.6,4.1,2.5,2.5,1.5,1.6,2.1,1.8,1.9,4.5,0.953,2.983
286,China,General government net lending/borrowing,,,0.22,-0.01,0.07,0.925,-0.345,-0.701,-0.964,-0.914,-0.719,-1.044,-1.225,-0.895,-1.69,-0.953,-0.74,-0.733,-1.088,-2.323,-2.846,-2.596,-2.884,-2.394,-1.512,-1.401,-1.144,0.059,-0.025,-1.751,-0.362,-0.098,-0.302,-0.833,-0.909,-2.815,-3.702,-3.835,-4.655,-6.37,-11.228,-9.569
287,China,Current account balance,,,,,,,,,,,,,,,,,,3.858,3.073,1.94,1.695,1.305,2.417,2.598,3.536,5.78,8.418,9.933,9.188,4.78,3.941,1.816,2.522,1.54,2.243,2.737,1.801,1.591,0.355,0.969,0.545,1.047
294,Colombia,General government net lending/borrowing,,,-4.307,-3.797,-3.87,-2.486,-1.941,-0.6,-0.898,-1.452,-0.406,0.35,-0.067,-0.24,-0.138,-0.999,-2.495,-3.227,-3.864,-5.367,-2.956,-2.919,-3.457,-2.706,-1.273,-0.021,-0.993,-0.82,0.042,-2.674,-3.303,-1.993,0.155,-1.021,-1.744,-3.52,-2.274,-2.496,-4.676,-2.159,-2.46,-1.264
300,Comoros,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,-7.032,0.0,1.513,4.247,-1.287,3.348,9.395,-0.935,4.635,3.281,7.196,1.731,2.2,7.4,2.177,6.686,4.855,0.984,2.163,-0.937,2.688,-1.417,1.42,0.927,5.086,-5.534,3.808
301,Comoros,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Comoros,General government net lending/borrowing,,,,,-5.743,-5.05,-4.851,-3.122,-2.696,-1.316,-1.03,-2.258,-1.992,1.275,-3.704,-4.134,-3.43,-1.302,-2.006,-0.457,-1.139,-2.129,-2.146,-2.045,-0.98,0.032,-1.507,-1.179,-1.464,0.36,4.204,0.861,1.962,10.489,-0.331,2.597,-4.48,0.351,-1.038,-2.237,-3.778,-2.747
308,Democratic Republic of the Congo,"Inflation, end of period consumer prices",,52.174,40.714,-11.094,159.083,39.22,38.26,106.47,120.59,56.12,264.97,4227.98,2729.79,4583.08,9796.9,370.272,1705.11,20.0,133.333,485.714,509.756,135.09,15.751,4.443,9.217,20.988,18.196,9.964,27.572,53.438,9.838,8.654,2.769,1.074,1.03,0.815,11.236,54.709,7.228,5.5,12,9.0
309,Democratic Republic of the Congo,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Democratic Republic of the Congo,General government net lending/borrowing,,,,,,,,,,,,,,,,,-0.562,-1.056,-1.548,-1.348,-1.846,-1.273,0.719,-4.242,-0.433,0.639,1.056,0.454,-0.477,0.925,-1.001,-0.985,1.75,1.874,-0.017,-0.406,-0.495,1.355,-0.048,-2.051,-1.178,-0.309
316,Republic of Congo,"Inflation, end of period consumer prices",,0.782,3.454,3.471,3.488,3.505,3.521,3.537,-13.013,-11.643,1.493,7.353,-2.74,0.0,-18.232,28.8,5.5,16.0,-2.5,3.8,-3.1,8.335,-2.856,6.704,1.106,3.053,18.102,-3.935,11.813,-1.773,2.633,1.784,7.469,2.087,0.477,4.094,-0.036,1.785,0.897,3.799,2.517,2.718
317,Republic of Congo,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Republic of Congo,General government net lending/borrowing,,,,,,,,,,0.81,-4.265,-12.471,-14.186,-12.651,-12.422,-7.408,10.28,4.055,-5.928,-5.328,1.178,-0.767,-8.095,0.403,3.644,14.637,16.646,10.601,27.247,4.932,16.597,16.974,9.375,-3.648,-13.638,-24.753,-20.41,-7.387,6.617,5.784,5.7,6.121
322,Costa Rica,"Gross domestic product per capita, constant prices",,-5.15,-9.984,-0.058,4.967,-2.231,2.453,1.88,0.69,2.965,1.102,-0.066,6.816,4.35,1.462,1.205,-1.456,2.912,4.379,1.488,4.582,-0.258,1.519,2.623,2.693,2.308,5.649,6.629,3.136,-2.416,3.003,2.978,3.446,0.97,2.229,2.386,3.007,2.666,1.518,1.017,-4.303,1.895
326,Costa Rica,General government net lending/borrowing,,,,,,,,,,,-4.42,-2.42,-1.52,-1.53,-5.49,-3.705,-4.344,-3.408,-2.979,-2.894,-3.699,-3.485,-5.015,-3.447,-3.43,-2.796,-1.437,0.311,-0.283,-3.46,-5.265,-4.178,-4.533,-5.573,-5.897,-5.646,-5.28,-6.178,-5.905,-7.008,-7.846,-7.085
332,Côte d'Ivoire,"Inflation, end of period consumer prices",,7.78,5.714,8.393,4.068,4.414,8.333,7.469,4.149,0.1,0.1,1.69,3.568,2.52,32.2,7.7,3.5,4.587,1.989,1.555,3.606,4.783,4.399,-0.109,4.443,2.531,2.037,1.456,8.954,-1.669,5.104,1.967,3.409,0.415,0.854,1.415,-0.228,1.055,1.053,1.566,1.2,1.4
333,Côte d'Ivoire,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Côte d'Ivoire,General government net lending/borrowing,,,,,,,,,,,,,,,,,,-0.749,-0.697,-1.268,-0.831,0.699,-0.637,-1.261,-1.038,-1.025,-1.034,-0.389,-0.21,-1.001,-1.337,-2.889,-2.277,-1.621,-1.568,-2.042,-3.006,-3.333,-2.945,-2.28,-5.272,-2.489
336,Croatia,"Gross domestic product, constant prices",,,,,,,,,,,,,,-8.0,5.9,6.634,5.874,6.645,1.862,-0.936,3.749,3.347,5.116,5.64,4.16,4.314,5.001,5.266,1.76,-7.36,-1.496,-0.31,-2.238,-0.548,-0.104,2.437,3.484,3.139,2.695,2.919,-9.024,4.948
337,Croatia,"Gross domestic product, current prices",,,,,,,,,,,,,38.379,36.145,39.095,42.563,45.888,49.781,51.279,51.532,54.66,57.728,61.642,66.327,70.947,76.313,82.554,89.236,92.572,86.413,86.112,87.639,87.321,88.366,89.908,93.057,97.296,102.24,107.554,112.623,103.111,110.323
338,Croatia,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,-5.898,8.238,8.345,4.904,4.826,3.469,-2.088,7.846,5.172,5.116,5.615,1.04,4.244,5.048,5.361,1.806,-7.255,-1.251,2.88,-1.94,-0.268,0.321,3.265,4.227,4.364,3.599,3.645,-8.512,5.799
339,Croatia,"Inflation, average consumer prices",,,,,,,,,,,,,,1518.53,97.505,1.963,3.644,3.709,6.709,4.014,4.605,3.777,1.672,1.767,2.055,3.317,3.19,2.899,6.077,2.379,1.031,2.273,3.412,2.217,-0.215,-0.464,-1.125,1.129,1.5,0.772,1.329,1.181
340,Croatia,"Inflation, end of period consumer prices",,,,,,,,,,,,,,1151.64,-2.99,3.73,3.562,3.959,6.019,3.805,5.425,2.503,1.764,1.733,2.752,3.571,2.094,5.79,2.851,1.885,1.85,2.137,4.603,0.3,-0.499,-0.601,0.202,1.207,0.895,1.379,1.126,1.225
341,Croatia,Unemployment rate,,,,,,,,,,,,13.159,15.253,14.775,14.48,14.5,9.952,9.906,11.637,18.633,20.592,21.508,21.783,19.067,17.783,17.583,16.525,14.733,13.033,14.517,17.167,17.367,18.6,19.808,19.275,17.067,14.958,12.433,9.858,7.8,11.5,8.0
342,Croatia,General government net lending/borrowing,,,,,,,,,,,,,-3.213,-0.483,1.751,-1.135,-1.199,-1.71,-2.746,-7.023,-5.494,-5.723,-3.29,-4.521,-4.967,-3.666,-3.132,-2.229,-2.824,-6.048,-6.466,-7.914,-5.354,-5.337,-5.35,-3.315,-1.045,0.752,0.234,-0.046,-6.53,-2.552
343,Croatia,Current account balance,,,,,,,,,,,,,2.579,4.811,3.96,-5.864,-4.01,-10.423,-5.798,-6.402,-1.438,-2.17,-6.346,-5.33,-3.4,-4.627,-6.03,-6.691,-8.363,-4.686,-0.743,-0.192,0.306,1.316,0.256,3.255,2.131,3.418,1.901,2.913,-3.985,-1.549
349,Cyprus,Unemployment rate,,,2.8,3.3,3.3,3.3,3.7,3.4,2.8,2.3,1.8,3,1.825,2.7,2.7,2.6,3.1,3.4,3.4,3.6,4.842,3.925,3.517,4.108,4.625,5.3,4.55,3.925,3.65,5.325,6.275,7.85,11.8,15.85,16.075,14.9,12.95,11.05,8.35,7.075,8.824,7.378
350,Cyprus,General government net lending/borrowing,,,,,,,,,,,,,,,,-0.712,-2.956,-4.821,-3.851,-4.054,-2.24,-2.107,-4.131,-5.907,-3.712,-2.224,-1.041,3.228,0.866,-5.433,-4.697,-5.666,-5.566,-5.173,-0.234,0.013,0.089,1.662,-4.377,2.749,-1.809,1.935
352,Czech Republic,"Gross domestic product, constant prices",,,,,,,,,,,,,,,,,4.525,-0.595,-0.329,1.433,4.267,2.909,1.652,3.603,4.907,6.533,6.854,5.603,2.682,-4.803,2.273,1.778,-0.8,-0.484,2.715,5.309,2.451,4.353,2.846,2.566,-6.5,7.501
353,Czech Republic,"Gross domestic product, current prices",,,,,,,,,,,,,,,,144.023,153.297,155.013,156.243,160.77,171.376,180.229,186.106,196.392,211.575,232.418,255.863,277.457,290.44,278.6,288.254,299.507,302.81,306.632,320.787,341.335,353.321,375.643,395.747,412.978,388.587,425.879
354,Czech Republic,"Gross domestic product per capita, constant prices",,,,,,,,,,,,,,,,,4.645,-0.477,-0.232,1.527,4.384,3.372,1.96,3.69,4.879,6.497,6.595,5.287,1.797,-5.555,1.919,1.539,-0.977,-0.585,2.751,5.051,2.299,4.106,2.543,2.183,-6.63,7.349
355,Czech Republic,"Inflation, average consumer prices",,,,,,,,,,,,,,,,,8.78,8.629,10.7,2.16,3.763,4.686,1.881,0.119,2.749,1.878,2.523,2.873,6.318,1.029,1.473,1.917,3.279,1.439,0.352,0.326,0.667,2.451,2.158,2.856,2.073,2.0
356,Czech Republic,"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,8.736,10.085,6.832,2.326,3.977,4.098,0.656,1.043,2.71,2.261,1.72,5.435,3.666,0.994,2.298,2.353,2.403,1.429,0.101,0.0,2.01,2.365,2.021,3.208,2,2.0
357,Czech Republic,Unemployment rate,,,,,,,,,,,,,,,,4.0,3.9,4.775,6.491,8.72,8.757,8.113,7.27,7.77,8.344,7.932,7.128,5.306,4.381,6.706,7.284,6.716,6.959,6.942,6.097,5.04,3.946,2.89,2.243,2.001,7.5,6.0
358,Czech Republic,General government net lending/borrowing,,,,,,,,,,,,,,,,-12.433,-3.012,-3.184,-4.182,-3.132,-3.575,-5.485,-6.356,-6.885,-2.381,-2.991,-2.172,-0.654,-1.98,-5.45,-4.19,-2.724,-3.93,-1.248,-2.099,-0.615,0.719,1.568,0.891,0.272,-4.726,-1.717
359,Czech Republic,Current account balance,,,,,,,,,,,,,,,,-2.29,-6.152,-5.771,-1.887,-2.256,-4.408,-4.847,-5.086,-5.715,-3.736,-2.105,-2.466,-4.612,-1.87,-2.27,-3.578,-2.102,-1.559,-0.532,0.183,0.245,1.557,1.654,0.292,-0.015,-2.057,-0.86
368,Djibouti,"Gross domestic product, constant prices",,,,,,,,,,,,,0.562,-6.751,-1.36,-3.481,-3.732,-1.216,0.114,2.919,0.713,1.793,3.234,3.186,2.779,3.111,4.825,5.017,5.806,1.616,4.147,7.293,4.842,5.001,7.062,7.696,6.653,5.403,8.408,7.498,1,8.5
369,Djibouti,"Gross domestic product, current prices",,,,,,,,,,,,1.647,1.694,1.617,1.629,1.606,1.574,1.582,1.601,1.672,1.721,1.791,1.878,1.974,2.083,2.215,2.392,2.579,2.782,2.849,3.001,3.288,3.513,3.753,4.093,4.453,4.799,5.153,5.723,6.259,6.362,7.037
370,Djibouti,"Gross domestic product per capita, constant prices",,,,,,,,,,,,-7.059,-2.177,-9.291,-4.047,-6.11,-6.354,-3.906,-2.613,0.116,-2.03,-0.98,0.422,0.376,-0.021,0.303,1.97,2.156,2.924,-1.151,1.311,4.37,1.987,2.141,4.145,4.763,3.748,2.532,5.455,4.57,-1.751,5.545
371,Djibouti,"Inflation, average consumer prices",,,,,,,,,,,,,3.371,4.438,6.505,4.886,3.513,2.52,2.205,-0.401,1.184,1.891,1.404,1.59,2.439,3.281,3.514,5.896,8.73,5.551,2.485,5.242,4.221,1.063,1.342,-0.847,2.738,0.568,0.148,3.319,2.898,2.757
372,Djibouti,"Inflation, end of period consumer prices",,,,,,,,,,,,,3.869,5.408,5.737,4.706,2.631,2.427,2.018,-0.577,2.368,1.424,1.384,1.793,3.073,3.483,3.544,8.168,9.249,2.166,2.798,7.62,1.063,1.063,3.431,-1.61,2.407,-0.843,1.972,3.257,3.54,2.0
373,Djibouti,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Djibouti,General government net lending/borrowing,,,,,,,,,,,-3.257,-0.863,-6.138,-7.104,-4.969,-5.135,-1.767,-2.86,-3.595,-5.201,-3.977,-3.609,-4.568,-4.138,-3.671,-1.179,0.262,-1.883,0.623,-3.886,-1.045,-1.186,-2.044,-4.249,-6.877,-15.416,-8.308,-4.53,-2.782,-0.828,-2.724,-1.725
375,Djibouti,Current account balance,,,,,,,,,,,,17.068,-0.339,26.52,36.419,37.058,35.827,35.862,33.558,35.076,19.648,43.253,51.544,48.006,30.396,30.512,4.77,-25.776,-33.355,18.684,49.538,-1.813,-23.351,-30.776,23.972,29.345,-1.006,-4.831,18.015,24.71,-0.803,0.193
378,Dominica,"Gross domestic product per capita, constant prices",,,4.504,2.927,4.573,1.787,7.46,6.691,8.206,0.169,5.799,1.712,2.022,2.154,0.026,3.022,3.096,2.177,3.765,0.346,2.331,-0.071,-2.76,6.429,3.124,0.728,4.733,6.429,7.197,-1.1,0.744,-0.153,-1.059,-0.608,4.389,-2.551,2.522,-9.53,0.533,9.205,-4.677,3.442
381,Dominica,Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Dominica,General government net lending/borrowing,,,,,,,,,,,-4.66,-2.987,-2.224,-1.409,-3.354,-2.88,-1.59,-2.24,-5.99,-9.176,-8.661,-6.544,-4.071,0.85,-0.673,0.947,2.928,1.798,0.7,-0.309,-3.383,-4.402,-5.394,-2.863,-4.59,11.889,14.774,0.272,-19.73,-9.17,-4.53,-0.558
383,Dominica,Current account balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.381,-4.653,-7.68,-8.832,-44.592,-29.358,-33.833,-26.4
389,Dominican Republic,Unemployment rate,,,,,,,,,,,,9.237,9.537,9.337,7.387,7.287,7.537,7.187,7.387,6.287,8.05,9.083,8.479,8.674,7.879,8.237,7.075,6.452,5.959,6.835,6.52,7.613,8.407,9.196,8.538,7.328,7.08,5.509,5.656,6.167,9,7.0
390,Dominican Republic,General government net lending/borrowing,,,,,,,,,,,,,,,,,,-1.144,-0.771,-1.299,-1.395,-1.629,-1.809,-6.187,-3.447,-0.403,-0.942,0.105,-3.25,-3.017,-2.729,-3.05,-6.56,-3.472,-2.753,-0.033,-3.103,-3.088,-2.16,-2.195,-4.408,-2.871
397,Ecuador,Unemployment rate,,,,,,,,,7.0,7.9,6.1,8.5,8.9,8.3,5.696,5.493,9.046,7.828,10.163,13.107,7.625,9.554,7.828,10.163,7.219,7.095,6.687,6.923,5.95,6.47,5.02,4.21,4.12,4.15,3.8,4.77,5.21,4.62,3.69,3.84,6.477,5.856
398,Ecuador,General government net lending/borrowing,,,,,,,,,,,,,,,,-1.937,-3.292,-2.704,-4.88,-4.617,-0.307,0.031,0.699,0.998,1.867,0.641,2.852,2.598,0.562,-3.57,-1.357,-0.127,-0.937,-4.57,-5.224,-6.119,-8.232,-4.461,-3.132,-2.799,-7.034,-4.412
405,Egypt,Unemployment rate,,,,,,,,,,,8.044,8.791,8.952,10.911,11.143,11.176,9.467,8.671,7.955,7.692,8.995,8.808,10.05,11.275,10.526,11.468,10.917,9.205,8.676,9.367,9.21,10.379,12.373,12.992,13.365,12.859,12.705,12.245,10.932,8.612,10.294,11.611
